Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
DPES-CPublico - 11/2018-Rede de drenagem de águas pluviais na rua Zona Industrial da Pedrulha;Concurso público;Empreitadas de obras públicas;"45232440-8, Construção de condutas de esgoto";"AC, Águas de Coimbra, E. M. (506566307)";"CONTEC - Construção e Engenharia, S.A. (501436162)";"217.831,81 €";20-05-2019;30-01-2019;150 dias;"Portugal, Coimbra, Coimbra";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIçAO DE SERVIDORES E PLATAFORMA DE VIRTUAçIZAçAO;Concurso público;Aquisição de bens móveis;"30230000-0, Equipamento informático";"Centro Hospitalar de Setúbal, E. P. E. (507606787)";ITEN SOLUTIONS - SISTEMAS DE INFORMAÇÃO (510728189);"193.243,28 €";20-05-2019;29-04-2019;30 dias;"Portugal, Setúbal, Setúbal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PRC_0434/2018_GAE-AA0407 - Empreitada de Execução do PE Cabeço - SAA Arcossó (Valpaços);Concurso público;Empreitadas de obras públicas;"45232150-8, Obras relacionadas com condutas para abastecimento de água";"Águas do Norte, S. A. (513606084)";"HIDMA - Hidráulica e Automação, S.A (505044897)";"54.650,28 €";20-05-2019;17-05-2019;60 dias;"Portugal, Vila Real, Valpaços";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 92000219 - AQUISIÇÃO DE DISPOSITIVOS MEDICOS DE ORTOPEDIA;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"Unidade Local de Saúde do Baixo Alentejo, E. P. E. (508754275)";"Johnson & Johnson, Lda. (500153370)";"26.400,00 €";20-05-2019;24-03-2019;1095 dias;"Portugal, Beja, Beja";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de gasóleo rodoviário a granel, por um período de 2 (dois) anos";Concurso público;Aquisição de bens móveis;"09134100-8, Gasóleo";Municipio de Idanha-a-Nova (501121030);"João Serras - Comércio de Pneus e Combustíveis, Lda. (503945650)";"220.000,00 €";20-05-2019;20-05-2019;730 dias;"Portugal, Castelo Branco, Idanha-a-Nova";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de reagentes para o Laboratório de Patologia Clínica - Hematologia (Citometria de fluxo);Concurso público;Aquisição de bens móveis;"33696200-7, Reagentes para análises ao sangue";"Hospital da Senhora da Oliveira Guimarães, E. P. E. (508080827)";"ENZIFARMA, S.A. (503636975)";"145.000,00 €";20-05-2019;28-03-2019;1095 dias;"Portugal, Braga, Guimarães";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"EXECUÇÃO DOS EMISSÁRIOS, ESTAÇÕES ELEVATÓRIAS E ETAR DE ARCAS – MÕES";Concurso público;Empreitadas de obras públicas;"45252127-4, Construção de estação de tratamento de águas residuais";Município de Castro Daire (506716210);FLOPONOR S A	 (503694479);"2.519.840,39 €";20-05-2019;23-04-2019;540 dias;"Portugal, Viseu";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"PRC_0403/2018_GAE-EB0414 - Empreitada de Construção da Rede de Drenagem de Águas Residuais na EM 614 e na Travessa de Casares, na freguesia de Revelhe (Fafe)";Concurso público;Empreitadas de obras públicas;"45232411-6, Construção de condutas para águas residuais";"Águas do Norte, S. A. (513606084)";"TAMIVIA - Construções e Obras Públicas, S.A (508681049)";"105.456,23 €";20-05-2019;16-05-2019;60 dias;"Portugal, Braga, Fafe";"Artigo 22.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de Diverso Material de Bloco Operatório, à ULSNA, EPE, em 2019";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";Medicinália (500684324);"540,00 €";20-05-2019;10-05-2019;237 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Lubrificantes e Aditivos;Concurso público;Aquisição de bens móveis;"09211000-1, Óleos lubrificantes e agentes lubrificantes";Serviços Municipalizados de Sintra (SMAS) (680000054);"Repsol Lubricantes y Especialidades, S.A. (ESA-28201523)";"20.540,49 €";20-05-2019;08-05-2019;365 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PRC_0337/2018_EXP - Empreitada de Reparação de Pavimentos nos Municípios do Sistema de Águas da Região do Noroeste (SARN) - Lote D;Concurso público;Empreitadas de obras públicas;"45233142-6, Reparação de estradas";"Águas do Norte, S. A. (513606084)";"DizConstrução, Lda. (514129000)";"510.825,00 €";20-05-2019;14-05-2019;1095 dias;"Portugal, Porto, Trofa<BR/>Portugal, Porto, Santo Tirso";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Reparações no Pavilhão Cidade de Viseu;Concurso público;Empreitadas de obras públicas;"45212290-5, Reparação e manutenção de instalações desportivas";Município de Viseu (506697320);"Consipel - Construçõea Simões Pereira, Lda. (500334625)";"220.131,00 €";20-05-2019;20-05-2019;140 dias;"Portugal, Viseu, Viseu";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PRC_0337/2018_EXP - Empreitada de Reparação de Pavimentos nos Municípios do Sistema de Águas da Região do Noroeste (SARN) - Lote A;Concurso público;Empreitadas de obras públicas;"45233142-6, Reparação de estradas";"Águas do Norte, S. A. (513606084)";"DizConstrução, Lda. (514129000)";"701.100,00 €";20-05-2019;14-05-2019;1095 dias;"Portugal, Porto, Amarante";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de reagentes para o serviço de Imunohemoterapia - Coagulação (Trombose e hemostase);Concurso público;Aquisição de bens móveis;"33696200-7, Reagentes para análises ao sangue";"Hospital da Senhora da Oliveira Guimarães, E. P. E. (508080827)";"WERFEN PORTUGAL, LDA. (501086110)";"218.758,68 €";20-05-2019;22-03-2019;1095 dias;"Portugal, Braga, Guimarães";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público com publicação no Jornal Oficial da União Europeia para aquisição centralizada de medicamentos para as Instituições do Serviço Nacional de Saúde;Concurso público;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275)";ACCORD HEALTHCARE UNIPESSOAL LDA (508622263);"52.506,20 €";20-05-2019;19-02-2019;310 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
Prestação de serviço de fornecimento de refeições;Concurso público;Aquisição de serviços;"55320000-9, Serviços de provimento de refeições";APPACDM de Viana do Castelo - Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental (504646885);"ITAU - Instituto Técnico de Alimentação Humana, SA (500142858)";"122.862,50 €";20-05-2019;01-04-2019;1095 dias;"Portugal, Viana do Castelo, Melgaço";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de gás a equipamentos municipais;Concurso público;Aquisição de bens móveis;"09120000-6, Combustíveis gasosos";Município de Ílhavo (506920887);"EDP Comercial, SA (503504564)";"75.258,45 €";20-05-2019;08-04-2019;260 dias;"Portugal, Aveiro, Ílhavo";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de reagentes para o Laboratório de Patologia Clínica - Microbiologia (Biologia Molecular - Painéis sindrómicos);Concurso público;Aquisição de bens móveis;"33696200-7, Reagentes para análises ao sangue";"Hospital da Senhora da Oliveira Guimarães, E. P. E. (508080827)";"BIOMERIEUX PORTUGAL, LDA. (501524177)";"175.500,00 €";20-05-2019;25-03-2019;1095 dias;"Portugal, Braga, Guimarães";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de 84 lotes relativos a equipamentos para a execução dos projetos contratualizados com o PDR 2020;Concurso público;Aquisição de bens móveis;"38430000-8, Aparelhos de detecção e análise";"Instituto Nacional de Investigação Agrária e Veterinária, I. P. (510345271)";"Labor Spirit, Lda (507485149)";"18.977,96 €";20-05-2019;28-02-2019;20 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
ALUGUER DE UNIDADE MOVEL DE TAC;Concurso público;Locação de bens móveis;"33110000-4, Equipamento de imagiologia para uso médico, dentário e veterinário";"Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275)";"Canon Medical Systems, S.A (980023700)";"49.300,00 €";20-05-2019;30-04-2019;34 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Produção da 6.ª edição das Festas da Cidade ;Concurso público;Aquisição de serviços;"92300000-4, Serviços recreativos";Município da Marinha Grande (505776758);"DOMINGO NO MUNDO SOC. ENTRETENIMENTO,LDA (505506386)";"206.900,00 €";17-05-2019;17-05-2019;4 dias;"Portugal, Leiria, Marinha Grande";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
C.P.N.º01/ISEG/2019;Concurso público;Aquisição de serviços;"79822500-7, Serviços de concepção gráfica";Instituto Superior de Economia e Gestão (502488603);"IDG - Imagem Digital Gráficos, Lda. (503515884)";"101.981,10 €";17-05-2019;08-05-2019;1096 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Requalificação urbana da área central de Fiães - Fase 4;Concurso público;Empreitadas de obras públicas;"45230000-8, Construção de condutas de longa distância, de linhas para comunicação e transporte de energia, vias rápidas, estradas, aeródromos e vias férreas; nivelamento ";Município de Santa Maria da Feira (501157280);"TECNIFEIRA - Engenharia e Construções, S.A. (502933755)";"334.530,93 €";17-05-2019;30-04-2019;180 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
GASES MEDICINAIS;Concurso público;Aquisição de bens móveis;"24111500-0, Gases médicos";"Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E. (506361438)";"ACAIL GÁS, S.A. (503789151)";"25.582,00 €";17-05-2019;04-04-2019;272 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Requalificação Urbana a Nascente – R. Manuel de Sousa Carneiro, R. António Brinco da Costa, R. António Ribeiro de Matos, R. Inspector João Neves dos Santos e R. da Paulicea";Concurso público;Empreitadas de obras públicas;"45233142-6, Reparação de estradas";Município de Águeda (501090436);"PAVIAZEMÉIS – Pavimentações de Azeméis, Lda (502896604)";"708.980,84 €";17-05-2019;04-04-2019;365 dias;"Portugal, Aveiro, Águeda";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de materiais para canalização de águas e esgotos, na modalidade de fornecimento contínuo.";Concurso público;Aquisição de bens móveis;"44115210-4, Materiais para canalização";Município de Oeiras (500745943);"Tecci - Manutenção Comercial e Industrial, Lda (506953971)";"44.280,00 €";17-05-2019;29-04-2019;1096 dias;"Portugal, Lisboa, Oeiras";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Prestação de serviços de viagens, transportes e alojamento para a DGERT ";Concurso público;Aquisição de serviços;"63500000-4, Serviços de agências de viagens, de operadores turísticos e de assistência a turistas";Direção-Geral do Emprego e das Relações de Trabalho (DGERT) (600073270);RASO - VIAGENS E TURISMO SA (500886113);"15.600,00 €";17-05-2019;17-05-2019;229 dias;"Portugal<BR/>Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Equipamento Informático;Concurso público;Aquisição de bens móveis;"30200000-1, Equipamento e material informático";"Imprensa Nacional - Casa da Moeda, S. A. (500792887)";"BaseDois - Informática e Telecomunicações, Lda. (501333401)";"172.000,00 €";17-05-2019;10-05-2019;215 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Serviços de Gestão de Resíduos de Construção e Demolição;Concurso público;Aquisição de serviços;"90511000-2, Serviços de recolha de resíduos";"AR - ÁGUAS DO RIBATEJO, E.I.M., S.A. (508345464)";"RVU - Recolha, Transporte e Valorização de Resíduos, Lda (506950573)";"32.777,00 €";17-05-2019;18-04-2019;730 dias;"Portugal, Santarém, Almeirim<BR/>Portugal, Santarém, Benavente<BR/>Portugal, Santarém, Coruche<BR/>Portugal, Santarém, Alpiarça<BR/>Portugal, Santarém, Torres Novas<BR/>Portugal, Santarém, Salvaterra de Magos<BR/>Portugal, Santarém, Chamusca";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE ARTIGOS ESPECIFICOS DE RADIOLOGIA;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";INSULARPHARMA  (511135858);"45.703,08 €";17-05-2019;07-05-2019;238 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE ARTIGOS ESPECIFICOS DE RADIOLOGIA;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";"HR HOSPITALAR, LDA. (501895558)";"148,50 €";17-05-2019;09-05-2019;236 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE ARTIGOS ESPECIFICOS DE RADIOLOGIA;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";Clinifar (503281115);"656,40 €";17-05-2019;15-05-2019;230 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇÃO DE ARTIGOS ESPECIFICOS DE RADIOLOGIA;Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"SESARAM - Serviço de Saúde da RAM, E.P.E. (511228848)";"CATETER PRODUTOS MEDICOS E HOSPITALARES, LDA (502914319)";"12.540,00 €";17-05-2019;10-05-2019;235 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público Aquisição de Apólices de Seguros;Concurso público;Aquisição de serviços;"66500000-5, Serviços de seguros e pensões";CONFEDERAÇÃO DOS AGRICULTORES DE PORTUGAL (501155350);Fidelidade Companhia de Seguros SA (500918880);"51.800,00 €";17-05-2019;09-04-2019;730 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de 84 lotes relativos a equipamentos para a execução dos projetos contratualizados com o PDR 2020;Concurso público;Aquisição de bens móveis;"38430000-8, Aparelhos de detecção e análise";"Instituto Nacional de Investigação Agrária e Veterinária, I. P. (510345271)";"VWR INTERNATIONAL – MATERIAL DE LABORATÓRIO, LDA. (503842770)";"11.272,80 €";17-05-2019;28-02-2019;20 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
